network_node1	network_node2
G7_Cl_9	G610_Cl_8
G7_Cl_9	G612_Cl_9
G7_Cl_9	G700_Cl_2
G7_Cl_9	G764_Cl_2
G7_Cl_10	G264_Cl_2
G7_Cl_10	G328_Cl_8
G7_Cl_10	G454_Cl_11
G7_Cl_10	G463_Cl_3
G7_Cl_10	G752_Cl_6
G7_Cl_12	G109_Cl_2
G7_Cl_12	G431_Cl_9
G7_Cl_12	G463_Cl_3
G7_Cl_13	G588_Cl_15
G7_Cl_14	G86_Cl_5
G7_Cl_14	G222_Cl_6
G7_Cl_14	G463_Cl_3
G7_Cl_14	G611_Cl_8
G8_Cl_2	G146_Cl_7
G8_Cl_2	G147_Cl_14
G8_Cl_2	G463_Cl_3
G8_Cl_3	G91_Cl_4
G8_Cl_3	G109_Cl_2
G8_Cl_3	G463_Cl_3
G8_Cl_3	G495_Cl_7
G8_Cl_3	G588_Cl_15
G8_Cl_4	G19_Cl_2
G8_Cl_4	G79_Cl_12
G8_Cl_4	G81_Cl_5
G8_Cl_4	G84_Cl_7
G8_Cl_4	G91_Cl_12
G8_Cl_4	G92_Cl_4
G8_Cl_4	G109_Cl_2
G8_Cl_4	G174_Cl_5
G8_Cl_4	G247_Cl_7
G8_Cl_4	G290_Cl_5
G8_Cl_4	G291_Cl_5
G8_Cl_4	G293_Cl_5
G8_Cl_4	G296_Cl_5
G8_Cl_4	G298_Cl_3
G8_Cl_4	G304_Cl_6
G8_Cl_4	G328_Cl_4
G8_Cl_4	G333_Cl_8
G8_Cl_4	G361_Cl_5
G8_Cl_4	G395_Cl_2
G8_Cl_4	G397_Cl_2
G8_Cl_4	G404_Cl_6
G8_Cl_4	G406_Cl_4
G8_Cl_4	G412_Cl_9
G8_Cl_4	G463_Cl_3
G8_Cl_4	G495_Cl_7
G8_Cl_4	G499_Cl_13
G8_Cl_4	G500_Cl_12
G8_Cl_4	G519_Cl_14
G8_Cl_4	G605_Cl_13
G8_Cl_4	G700_Cl_2
G8_Cl_4	G756_Cl_4
G8_Cl_4	G758_Cl_13
G8_Cl_4	G764_Cl_2
G8_Cl_5	G34_Cl_15
G8_Cl_5	G345_Cl_3
G8_Cl_5	G413_Cl_8
G8_Cl_5	G421_Cl_3
G8_Cl_5	G454_Cl_11
G8_Cl_5	G463_Cl_3
G8_Cl_5	G588_Cl_15
G8_Cl_5	G752_Cl_6
G8_Cl_6	G84_Cl_7
G8_Cl_6	G109_Cl_2
G8_Cl_6	G333_Cl_8
G8_Cl_6	G404_Cl_6
G8_Cl_6	G463_Cl_3
G8_Cl_6	G499_Cl_13
G8_Cl_6	G500_Cl_12
G8_Cl_6	G605_Cl_13
G8_Cl_6	G700_Cl_2
G8_Cl_6	G758_Cl_13
G8_Cl_6	G764_Cl_2
G8_Cl_7	G79_Cl_10
G8_Cl_7	G80_Cl_8
G8_Cl_7	G109_Cl_2
G8_Cl_7	G463_Cl_3
G8_Cl_7	G588_Cl_15
G8_Cl_7	G764_Cl_2
G8_Cl_8	G20_Cl_5
G8_Cl_8	G91_Cl_4
G8_Cl_8	G109_Cl_2
G8_Cl_8	G344_Cl_7
G8_Cl_8	G404_Cl_6
G8_Cl_8	G439_Cl_13
G8_Cl_8	G463_Cl_3
G8_Cl_8	G500_Cl_12
G8_Cl_8	G588_Cl_15
G8_Cl_8	G700_Cl_2
G8_Cl_8	G764_Cl_2
G8_Cl_9	G144_Cl_6
G8_Cl_9	G145_Cl_5
G8_Cl_9	G146_Cl_7
G8_Cl_9	G147_Cl_14
G8_Cl_9	G302_Cl_7
G8_Cl_10	G109_Cl_2
G8_Cl_10	G439_Cl_13
G8_Cl_10	G463_Cl_3
G8_Cl_10	G588_Cl_15
G8_Cl_10	G764_Cl_2
G9_Cl_2	G109_Cl_2
G9_Cl_2	G463_Cl_3
G9_Cl_3	G19_Cl_2
G9_Cl_3	G20_Cl_5
G9_Cl_3	G31_Cl_4
G9_Cl_3	G67_Cl_5
G9_Cl_3	G68_Cl_3
G9_Cl_3	G69_Cl_4
G9_Cl_3	G79_Cl_12
G9_Cl_3	G80_Cl_11
G9_Cl_3	G81_Cl_5
G9_Cl_3	G84_Cl_7
G9_Cl_3	G92_Cl_4
G9_Cl_3	G93_Cl_8
G9_Cl_3	G109_Cl_2
G9_Cl_3	G110_Cl_6
G9_Cl_3	G174_Cl_5
G9_Cl_3	G192_Cl_3
G9_Cl_3	G193_Cl_6
G9_Cl_3	G247_Cl_7
G9_Cl_3	G290_Cl_5
G9_Cl_3	G291_Cl_5
G9_Cl_3	G293_Cl_5
G9_Cl_3	G296_Cl_5
G9_Cl_3	G298_Cl_3
G9_Cl_3	G304_Cl_6
G9_Cl_3	G328_Cl_4
G9_Cl_3	G333_Cl_8
G9_Cl_3	G334_Cl_8
G9_Cl_3	G361_Cl_5
G9_Cl_3	G395_Cl_2
G9_Cl_3	G397_Cl_2
G9_Cl_3	G404_Cl_6
G9_Cl_3	G406_Cl_4
G9_Cl_3	G411_Cl_4
G9_Cl_3	G412_Cl_9
G9_Cl_3	G414_Cl_8
G9_Cl_3	G452_Cl_2
G9_Cl_3	G463_Cl_3
G9_Cl_3	G495_Cl_7
G9_Cl_3	G499_Cl_13
G9_Cl_3	G500_Cl_12
G9_Cl_3	G507_Cl_9
G9_Cl_3	G519_Cl_14
G9_Cl_3	G605_Cl_13
G9_Cl_3	G696_Cl_7
G9_Cl_3	G700_Cl_2
G9_Cl_3	G708_Cl_5
G9_Cl_3	G708_Cl_12
G9_Cl_3	G756_Cl_4
G9_Cl_3	G758_Cl_13
G9_Cl_4	G10_Cl_7
G9_Cl_4	G11_Cl_3
G9_Cl_4	G11_Cl_11
G9_Cl_4	G22_Cl_11
G9_Cl_4	G30_Cl_6
G9_Cl_4	G30_Cl_8
G9_Cl_4	G31_Cl_5
G9_Cl_4	G34_Cl_4
G9_Cl_4	G34_Cl_14
G9_Cl_4	G52_Cl_3
G9_Cl_4	G60_Cl_9
G9_Cl_4	G60_Cl_10
G9_Cl_4	G67_Cl_11
G9_Cl_4	G91_Cl_4
G9_Cl_4	G93_Cl_11
G9_Cl_4	G109_Cl_2
G9_Cl_4	G122_Cl_9
G9_Cl_4	G123_Cl_7
G9_Cl_4	G125_Cl_8
G9_Cl_4	G125_Cl_10
G9_Cl_4	G142_Cl_11
G9_Cl_4	G143_Cl_9
G9_Cl_4	G144_Cl_14
G9_Cl_4	G144_Cl_19
G9_Cl_4	G145_Cl_15
G9_Cl_4	G145_Cl_21
G9_Cl_4	G146_Cl_4
G9_Cl_4	G147_Cl_5
G9_Cl_4	G158_Cl_7
G9_Cl_4	G162_Cl_6
G9_Cl_4	G162_Cl_12
G9_Cl_4	G163_Cl_10
G9_Cl_4	G165_Cl_3
G9_Cl_4	G192_Cl_7
G9_Cl_4	G192_Cl_8
G9_Cl_4	G192_Cl_9
G9_Cl_4	G193_Cl_4
G9_Cl_4	G193_Cl_9
G9_Cl_4	G193_Cl_10
G9_Cl_4	G193_Cl_18
G9_Cl_4	G199_Cl_13
G9_Cl_4	G199_Cl_14
G9_Cl_4	G203_Cl_5
G9_Cl_4	G220_Cl_8
G9_Cl_4	G226_Cl_2
G9_Cl_4	G226_Cl_9
G9_Cl_4	G247_Cl_4
G9_Cl_4	G247_Cl_8
G9_Cl_4	G257_Cl_16
G9_Cl_4	G260_Cl_6
G9_Cl_4	G264_Cl_4
G9_Cl_4	G286_Cl_7
G9_Cl_4	G287_Cl_6
G9_Cl_4	G289_Cl_7
G9_Cl_4	G290_Cl_8
G9_Cl_4	G291_Cl_8
G9_Cl_4	G292_Cl_4
G9_Cl_4	G296_Cl_3
G9_Cl_4	G296_Cl_7
G9_Cl_4	G298_Cl_5
G9_Cl_4	G298_Cl_9
G9_Cl_4	G304_Cl_4
G9_Cl_4	G304_Cl_5
G9_Cl_4	G318_Cl_8
G9_Cl_4	G318_Cl_19
G9_Cl_4	G331_Cl_4
G9_Cl_4	G333_Cl_3
G9_Cl_4	G333_Cl_10
G9_Cl_4	G334_Cl_4
G9_Cl_4	G334_Cl_5
G9_Cl_4	G344_Cl_7
G9_Cl_4	G348_Cl_13
G9_Cl_4	G375_Cl_13
G9_Cl_4	G376_Cl_5
G9_Cl_4	G382_Cl_12
G9_Cl_4	G400_Cl_4
G9_Cl_4	G401_Cl_6
G9_Cl_4	G404_Cl_4
G9_Cl_4	G405_Cl_2
G9_Cl_4	G405_Cl_5
G9_Cl_4	G406_Cl_2
G9_Cl_4	G407_Cl_5
G9_Cl_4	G407_Cl_13
G9_Cl_4	G411_Cl_7
G9_Cl_4	G413_Cl_8
G9_Cl_4	G421_Cl_3
G9_Cl_4	G424_Cl_4
G9_Cl_4	G424_Cl_5
G9_Cl_4	G426_Cl_3
G9_Cl_4	G431_Cl_9
G9_Cl_4	G442_Cl_4
G9_Cl_4	G450_Cl_7
G9_Cl_4	G463_Cl_3
G9_Cl_4	G499_Cl_4
G9_Cl_4	G499_Cl_5
G9_Cl_4	G499_Cl_15
G9_Cl_4	G499_Cl_20
G9_Cl_4	G500_Cl_8
G9_Cl_4	G500_Cl_14
G9_Cl_4	G500_Cl_16
G9_Cl_4	G505_Cl_3
G9_Cl_4	G515_Cl_6
G9_Cl_4	G515_Cl_7
G9_Cl_4	G519_Cl_13
